Format Version,1.24,Take Name,Take 2024-10-24 04.26.46 PM,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2024-10-24 04.26.47.070 PM,Capture Start Frame,161615,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"CE30C20AAF924411EF","CE30C20AAF924411EF","CE30C20AAF924411EF"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
319,1.772222,147.097443,67.764519,90.315338
320,1.777778,147.096695,67.763611,90.314957
321,1.783333,147.098328,67.762947,90.316666
322,1.788889,147.096619,67.764626,90.314873
323,1.794444,147.098572,67.761375,90.317238
324,1.800000,147.097244,67.761024,90.318665
325,1.805556,147.096603,67.764915,90.315651
326,1.811111,147.096680,67.764656,90.317711
327,1.816667,147.091980,67.762756,90.317337
328,1.822222,147.095215,67.762779,90.318062
329,1.827778,147.096863,67.761803,90.315201
330,1.833333,147.097855,67.764015,90.315880
331,1.838889,147.094772,67.763367,90.316551
332,1.844444,147.097244,67.762680,90.316116
333,1.850000,147.092163,67.765923,90.314049
334,1.855556,147.094818,67.765030,90.316124
335,1.861111,147.095169,67.764122,90.312660
336,1.866667,147.095703,67.762772,90.317757
337,1.872222,147.096954,67.764816,90.318977
338,1.877778,147.097870,67.767075,90.316124
339,1.883333,147.096695,67.764572,90.315750
340,1.888889,147.097580,67.764122,90.315170
341,1.894444,147.093948,67.761375,90.315857
342,1.900000,147.092422,67.760086,90.315453
343,1.905556,147.093002,67.763062,90.314507
344,1.911111,147.093445,67.764137,90.317665
345,1.916667,147.094452,67.761887,90.318947
346,1.922222,147.096176,67.762215,90.318199
347,1.927778,147.095322,67.764549,90.316277
348,1.933333,147.095108,67.760498,90.315796
349,1.938889,147.095795,67.761559,90.317886
350,1.944444,147.092499,67.764565,90.315361
351,1.950000,147.095474,67.765282,90.315598
352,1.955556,147.096985,67.764854,90.315498
353,1.961111,147.094269,67.761932,90.314835
354,1.966667,147.097336,67.762032,90.318817
355,1.972222,147.094406,67.764397,90.317856
356,1.977778,147.094147,67.763107,90.315437
357,1.983333,147.096313,67.764618,90.314880
358,1.988889,147.096527,67.761940,90.313065
359,1.994444,147.095490,67.762192,90.315086
360,2.000000,147.096664,67.760757,90.314705
361,2.005556,147.096085,67.761757,90.315102
362,2.011111,147.099152,67.762489,90.312180
363,2.016667,147.093384,67.766220,90.312210
364,2.022222,147.097290,67.763786,90.312729
365,2.027778,147.097717,67.761482,90.317085
366,2.033333,147.096512,67.760292,90.316795
367,2.038889,147.097107,67.764313,90.309608
368,2.044444,147.098083,67.762177,90.312386
369,2.050000,147.095367,67.760765,90.309822
370,2.055556,147.096268,67.761055,90.309959
371,2.061111,147.095123,67.759392,90.311165
372,2.066667,147.098572,67.760307,90.314407
373,2.072222,147.099686,67.762955,90.313133
374,2.077778,147.098450,67.761589,90.311539
375,2.083333,147.098938,67.761261,90.309959
376,2.088889,147.098618,67.762215,90.309418
377,2.094444,147.096466,67.760315,90.306656
378,2.100000,147.097244,67.760841,90.308853
379,2.105556,147.117264,67.773727,90.280846
380,2.111111,147.118317,67.773582,90.283142
381,2.116667,147.100220,67.761284,90.302414
382,2.122222,147.116928,67.773102,90.282898
383,2.127778,147.100861,67.761856,90.301239
384,2.133333,147.102081,67.761078,90.310760
385,2.138889,147.120605,67.772667,90.281418
386,2.144444,147.103470,67.762779,90.302277
387,2.150000,147.097763,67.761627,90.308861
388,2.155556,147.118851,67.775208,90.282249
389,2.161111,147.100906,67.764099,90.304100
390,2.166667,147.121765,67.774475,90.284058
391,2.172222,147.102463,67.764038,90.301628
392,2.177778,147.101120,67.760338,90.308060
393,2.183333,147.098526,67.760139,90.302849
394,2.188889,147.102463,67.764839,90.303299
395,2.194444,147.120407,67.772903,90.284439
396,2.200000,147.123947,67.775238,90.282936
397,2.205556,147.100723,67.765648,90.303551
398,2.211111,147.094467,67.764259,90.303619
399,2.216667,147.099319,67.760803,90.307098
400,2.222222,147.101089,67.763000,90.306168
401,2.227778,147.120636,67.773911,90.278343
402,2.233333,147.102585,67.762215,90.303596
403,2.238889,147.098801,67.761307,90.309189
404,2.244444,147.098770,67.762383,90.309334
405,2.250000,147.100586,67.762329,90.307480
406,2.255556,147.100189,67.764374,90.306160
407,2.261111,147.096878,67.762497,90.306648
408,2.266667,147.101318,67.764275,90.307381
409,2.272222,147.119705,67.773026,90.284554
410,2.277778,147.102768,67.762985,90.305664
411,2.283333,147.097046,67.765533,90.306961
412,2.288889,147.100128,67.761848,90.307503
413,2.294444,147.101303,67.763084,90.309235
414,2.300000,147.098816,67.760246,90.309326
